source,target,weight
1053,1097,40.54260875918075
1053,1139,42.36344483553401
1053,1193,244.59293351403267
1053,1231,266.0360936508428
1053,1282,102.80146217345354
1053,1232,76.07449063253726
1054,1099,15.900952102870374
1054,1140,7.416947560223888
1054,1194,310.7805138321542
1097,1098,2.1505813167606567
1097,1193,284.59367965575063
1098,1099,1.8200274723201295
1098,1193,284.8812252501031
1098,1194,297.7400292201235
1099,1194,296.22383850730176
1136,1181,17.157157560492227
1136,1229,13.933373205684576
1136,1275,274.78737032274404
1137,1186,56.42966771086982
1137,1230,137.83055813244766
1137,1277,245.13878045644563
1137,1325,83.06446421556875
1137,1326,72.97231792723504
1138,1187,73.18272413016005
1138,1230,113.93608100841259
1138,1278,222.00997850447072
1138,1326,54.47731434072148
1138,1327,101.45171949695525
1138,1378,237.63884830183432
1138,1379,236.29156502868167
1139,1192,6.228295647018265
1139,1231,308.3138282118833
1139,1281,304.0105192807205
1139,1282,140.8639266573715
1140,1141,7.654247187019765
1140,1194,305.4305976813718
1140,1235,133.34841581361212
1140,1236,314.7908653199595
1141,1142,5.673402858955108
1141,1236,320.3390022911492
1141,1237,326.742477623699
1142,1143,4.870318264754368
1142,1236,320.4791551550411
1142,1237,326.5649605658693
1143,1237,324.3616047133891
1143,1238,34.318289584418395
1143,1144,1.3387390418682126
1144,1238,34.97161547439421
1144,1284,313.9028954593726
1144,1285,308.0671824276141
1181,1182,1.0307764064044151
1181,1275,259.62015041209725
1182,1183,1.4577379737113252
1182,1275,259.0732714889747
1182,1276,300.74264561064314
1183,1184,1.75
1183,1276,300.44483224416126
1184,1185,4.0
1184,1276,299.22767483788806
1185,1186,2.3717082451262845
1185,1276,302.0174410894547
1185,1277,300.3570791574588
1186,1277,301.4313769334573
1187,1188,6.4701236464228415
1187,1278,294.36588627081096
1188,1189,0.25
1188,1278,300.5188222058645
1188,1279,305.1795578016326
1189,1190,0.75
1189,1279,305.0127046534291
1189,1280,297.0233576673727
1190,1191,2.1213203435596424
1190,1280,297.5421188672286
1191,1192,3.25
1191,1280,297.6114287120036
1191,1281,300.2163802992768
1192,1281,298.9166898987074
1193,1232,183.7629247155149
1193,1233,173.0338157381062
1193,1194,17.820283387196735
1193,1282,163.85550036541343
1194,1233,186.07114827995827
1194,1234,185.33000296767926
1194,1235,187.09155512742953
1229,1274,7.433034373659253
1229,1320,306.2752030445821
1229,1275,262.31500147723153
1229,1374,300.451142265908
1229,1375,130.91982279242512
1230,1325,94.22277089724943
1230,1326,84.33193345346707
1231,1281,16.372614330032942
1231,1282,183.91523183249396
1232,1233,24.101636643366962
1232,1282,27.916169149795607
1232,1332,31.535694062442957
1232,1333,84.63647755745353
1232,1334,35.83599796294224
1233,1234,12.779497468819166
1233,1333,69.18734630616272
1233,1334,12.128793793650253
1234,1235,17.09970759983924
1234,1334,3.752166041102129
1234,1335,9.019361889229689
1234,1336,204.82330952555182
1235,1283,27.949371136731784
1235,1236,192.9895218802191
1235,1335,18.134374970082526
1235,1336,202.5863473312059
1236,1283,173.81892342489516
1236,1237,54.779562370602584
1237,1283,169.5711276925962
1237,1238,290.5566306458087
1237,1337,184.43190837414932
1237,1284,52.21239112364106
1237,1338,191.46745505220278
1238,1284,280.94456254254544
1238,1285,275.8856194150032
1239,1240,9.246621004453464
1239,1285,253.49802760573897
1239,1339,91.4975713096012
1239,1340,38.59080201291494
1239,1386,115.72414668080296
1239,1387,88.57381102786533
1240,1340,35.11053972812152
1240,1341,47.735672661484976
1240,1387,97.55624018995401
1240,1435,96.00611162518643
1274,1319,54.80775492574021
1274,1374,300.41438972784835
1275,1320,44.90501085625079
1275,1321,122.73610155532884
1275,1322,119.26797472883642
1275,1276,43.315496328937776
1275,1375,146.87804464929397
1276,1322,158.0291116009284
1276,1323,115.76472788471547
1276,1324,163.016330697492
1276,1277,4.295507989619955
1277,1324,161.52217913293472
1277,1325,176.2492119761737
1278,1327,132.87047264159182
1278,1328,175.06756632162845
1278,1279,6.294839156007086
1279,1328,179.63442815278418
1279,1280,13.100572506573902
1279,1329,122.11049185971787
1280,1328,173.82362548795768
1280,1329,116.8293508593719
1280,1330,147.1600130621238
1280,1281,4.602988159880492
1281,1330,148.52499322037053
1281,1331,179.052541171579
1281,1282,176.93466308216713
1282,1331,3.2882366094914763
1282,1332,9.56882960450232
1282,1333,61.347201783509796
1282,1383,191.81698815392875
1283,1336,177.74384389724258
1283,1385,177.75955281441287
1283,1337,16.642282332195006
1284,1337,182.31895510036495
1284,1338,186.81703599584168
1284,1339,188.8248012194255
1284,1285,18.98610603104866
1285,1339,187.82409027834765
1317,1418,50.33500894010053
1317,1467,111.4724451044382
1317,1511,275.1676091494055
1317,1555,280.93639614787463
1319,1374,248.05724249768548
1319,1419,48.3667240982889
1319,1420,84.92679200346613
1319,1467,103.99275403874053
1320,1374,7.982620009885366
1320,1375,191.54764420373328
1320,1321,166.9959299653737
1321,1322,6.815559367344391
1321,1375,27.80540639875634
1321,1422,26.928435249750404
1321,1468,22.608861647592956
1321,1513,29.81997023808039
1322,1323,43.596427905014174
1322,1423,165.073653938143
1322,1376,168.83286264884595
1322,1468,26.00842877505172
1322,1469,34.03810589708576
1323,1376,126.10870090697328
1323,1324,48.49054890732146
1323,1423,122.97029903372783
1324,1376,174.56247104202063
1324,1377,126.07878011900455
1324,1325,19.393584277051808
1324,1470,28.806305572578037
1324,1424,27.808844849289436
1324,1514,29.989157310063547
1324,1558,67.67727065243517
1324,1604,152.97019196441386
1324,1605,115.97796725623746
1325,1377,142.5901517948869
1325,1378,189.39347636307036
1325,1326,20.344259359556165
1326,1378,199.65358888724128
1326,1379,197.9382619797283
1327,1379,142.37667665581873
1327,1380,10.228636272739392
1327,1328,43.1625641551153
1327,1381,146.35188758605062
1327,1427,100.31793209591194
1328,1381,187.55201130471633
1328,1329,59.15985876326015
1329,1381,129.16282252344217
1329,1330,31.581244433999114
1329,1428,138.66917065046897
1329,1429,134.1499989646747
1330,1331,31.68573987002846
1330,1382,97.1084016275969
1330,1429,164.79508319256507
1330,1516,162.00510108566883
1330,1430,40.05824486743535
1330,1559,43.369399856275166
1330,1609,38.009958490433064
1331,1382,128.4531907825657
1331,1383,194.1891975482788
1332,1383,193.45010841156034
1332,1384,49.85231274895632
1332,1333,62.19994640940886
1333,1384,65.89001310639189
1333,1334,67.15381907729945
1334,1335,5.651634473514916
1334,1384,59.51446745472695
1334,1476,113.5384632575626
1334,1477,60.999971539155474
1334,1478,70.45504378285804
1335,1336,199.0416841113662
1335,1431,16.95569389779008
1335,1477,64.99786321274125
1335,1478,73.8021002411178
1336,1385,38.81537943335805
1336,1431,198.63526405198047
1336,1432,199.44572726684322
1337,1385,191.1533888152537
1337,1338,11.743825538196873
1337,1433,0.75
1338,1339,3.5123239817941587
1338,1433,12.398787774278786
1338,1434,34.60977347156561
1338,1479,138.3815623199979
1338,1522,197.91454543956152
1339,1386,27.800785610402365
1339,1434,36.268290404827304
1340,1386,143.70482985968147
1340,1387,115.69602413220602
1341,1342,45.15612247331913
1341,1435,137.31415599872332
1341,1436,28.504872877769124
1342,1436,32.09917666945903
1342,1480,79.71153349063466
1342,1481,27.725491107334
1342,1524,102.35883135881758
1374,1420,188.03275128433228
1374,1421,183.29726918011866
1374,1375,185.13478573431001
1375,1421,22.693611435820433
1375,1422,22.829531313629722
1376,1423,12.000416659433128
1376,1469,198.68246022233566
1376,1470,201.3822795084016
1377,1424,150.47871111888222
1377,1378,48.59305220113491
1377,1425,138.13856268254713
1378,1424,198.44588403111035
1378,1425,185.6376997152129
1378,1426,189.4826289311679
1378,1379,3.1622776601683764
1378,1471,184.5480967119412
1379,1426,187.4462886031919
1379,1380,138.31889984942606
1379,1472,188.7580020378827
1379,1473,191.45156625690538
1380,1381,142.52762890050477
