node,R,G,B
1559,12.363636363636363,73.63636363636364,132.8181818181818
1560,3.5,86.5,97.5
1561,13.6,226.8,40.1
1562,26.666666666666668,227.66666666666666,67.0
1563,9.75,144.0,44.5
1564,42.25,195.75,216.625
1565,0.0,96.5,142.5
1566,0.0,99.33333333333333,141.0
1567,95.5,206.0,253.0
1568,0.0,92.75,124.25
1569,32.5,69.5,108.0
1595,1.2,6.8,7.4
1596,0.5,9.75,12.0
1597,31.75,60.0,84.25
1598,85.8,215.0,242.6
1599,28.428571428571427,241.14285714285714,253.71428571428572
1600,0.0,97.5,137.0
1601,16.285714285714285,70.57142857142857,136.14285714285714
1602,29.333333333333332,228.66666666666666,63.666666666666664
1603,23.0,234.0,48.0
1604,24.5,232.0,58.0
1605,51.0,208.33333333333334,110.0
1606,0.0,86.0,136.0
1607,0.0,88.0,136.6
1608,30.11111111111111,184.11111111111111,215.11111111111111
1609,3.25,83.75,129.75
1610,39.0,220.5,76.5
1611,0.0,103.5,62.5
1612,67.25,221.0,255.0
1613,74.5,219.0,253.5
1614,46.0,231.83333333333334,253.33333333333334
1615,7.0,79.5,137.33333333333334
1616,13.375,45.25,51.875
1643,3.0,82.0,123.66666666666667
1644,3.6,86.8,121.8
1645,0.0,95.66666666666667,136.66666666666666
1646,0.0,105.66666666666667,134.66666666666666
1647,0.0,91.0,85.0
1648,2.3,253.1,7.4
1649,20.153846153846153,226.07692307692307,47.46153846153846
1650,13.5,159.33333333333334,73.0
1651,9.6,149.6,79.4
1652,59.125,225.375,253.875
1653,2.0,80.6,139.8
1654,15.666666666666666,139.66666666666666,78.0
1655,17.0,219.0,44.42857142857143
1656,0.0,98.6,85.4
1657,7.7,98.7,137.1
1658,0.0,90.0,106.6
1659,0.0,104.4,107.6
1660,89.0,210.33333333333334,255.0
1661,0.0,94.33333333333333,137.66666666666666
1662,0.0,102.0,137.0
1663,55.666666666666664,227.66666666666666,253.66666666666666
1664,102.5,189.0,197.5
1688,19.285714285714285,34.285714285714285,42.142857142857146
1689,0.0,11.666666666666666,11.666666666666666
1690,64.22222222222223,192.0,215.22222222222223
1691,27.25,117.25,160.5
1692,8.0,78.71428571428571,122.42857142857143
1693,3.375,79.625,133.375
1694,18.428571428571427,244.71428571428572,255.0
1695,50.0,229.5,255.0
1696,7.545454545454546,97.18181818181819,115.18181818181819
1697,29.333333333333332,232.33333333333334,57.333333333333336
1698,0.0,120.5,21.0
1699,9.3,145.4,53.3
1700,5.333333333333333,116.5,88.33333333333333
1701,3.6666666666666665,81.33333333333333,129.33333333333334
1702,27.0,118.33333333333333,120.66666666666667
1703,25.0,156.0,91.25
1704,11.0,150.6,82.0
1705,13.909090909090908,202.1818181818182,42.54545454545455
1706,0.0,108.66666666666667,73.33333333333333
1707,9.625,123.125,101.625
1708,4.0,77.6,138.0
1709,10.0,75.0,136.2
1710,4.0,84.75,134.75
1711,0.0,96.0,138.5
1712,0.0,96.5,121.0
1713,0.0,99.5,103.75
1714,18.5,44.0,52.833333333333336
1715,0.8,6.6,12.4
1716,15.375,40.625,50.0
1740,1.4285714285714286,90.28571428571429,130.57142857142858
1741,46.166666666666664,204.5,233.16666666666666
1742,14.0,138.66666666666666,68.0
1743,68.5,195.0,142.5
1744,9.375,198.3125,50.25
1745,41.666666666666664,216.33333333333334,95.0
1746,6.5,136.75,59.25
1747,10.285714285714286,101.14285714285714,124.42857142857143
1748,15.285714285714286,72.0,134.85714285714286
1749,15.857142857142858,70.28571428571429,141.42857142857142
1750,0.0,102.5,60.0
1751,0.0,105.5,99.0
1752,0.0,104.0,64.0
1753,49.333333333333336,208.0,101.66666666666667
1754,9.5,93.5,112.58333333333333
1755,0.1111111111111111,92.33333333333333,105.0
1756,57.8,226.6,252.8
1779,18.666666666666668,53.0,65.0
1780,100.0,209.0,234.0
1781,11.615384615384615,116.07692307692308,101.61538461538461
1782,13.333333333333334,111.83333333333333,91.0
1783,52.5,226.0,255.0
1784,10.666666666666666,248.66666666666666,16.333333333333332
1785,0.0,99.8,80.0
1786,0.0,92.33333333333333,86.0
1787,30.666666666666668,227.33333333333334,65.0
1788,20.1,207.7,57.4
1789,60.0,224.0,254.0
1790,3.2,251.4,12.2
1791,21.666666666666668,236.0,54.333333333333336
1792,6.6,247.6,23.2
1793,15.0,240.83333333333334,35.0
1794,18.166666666666668,69.5,140.83333333333334
1795,32.5,240.16666666666666,251.16666666666666
1796,0.4,90.0,135.2
1797,109.33333333333333,201.66666666666666,229.66666666666666
1798,26.88888888888889,52.333333333333336,58.0
1821,0.6666666666666666,89.66666666666667,133.33333333333334
1822,0.0,93.0,139.66666666666666
1823,43.2,182.4,109.0
1824,1.5,92.0,123.25
1825,15.5,135.33333333333334,102.5
1826,15.666666666666666,191.33333333333334,54.666666666666664
1827,5.0,79.0,108.0
1828,32.333333333333336,226.66666666666666,63.666666666666664
1829,3.6666666666666665,252.33333333333334,9.5
1830,21.555555555555557,210.66666666666666,215.11111111111111
1831,48.666666666666664,231.66666666666666,247.0
1832,21.333333333333332,235.33333333333334,46.333333333333336
1833,1.4285714285714286,253.57142857142858,3.0
1834,4.0,81.66666666666667,110.0
1835,39.5,145.0,115.0
1836,7.0,120.2,108.0
1837,39.875,235.375,254.5
1838,0.0,92.0,139.0
1839,0.0,84.0,124.0
1861,16.714285714285715,35.42857142857143,50.714285714285715
1862,7.5,74.0,126.5
1863,10.75,72.0,141.0
1864,16.0,70.66666666666667,138.83333333333334
